434, 67, 1165
367, -18, 1228
367, -18, 1228
377, -38, 1325
363, -104, 1461
343, -125, 1565
279, -201, 1407
254, -255, 1350
269, -284, 1270
297, -280, 1236
328, -269, 1235
344, -243, 1156
344, -243, 1156
328, -268, 974
324, -315, 824
361, -281, 724
-,-,-
229, -371, 807
397, -422, 561
514, -312, 358
625, -304, 289
598, -340, 124
628, -364, 81
596, -325, 211
596, -325, 211
525, -312, 228
477, -302, 327
534, -251, 420
641, -207, 462
579, -233, 573
553, -253, 627
553, -253, 627
630, -200, 705
728, -136, 791
807, -90, 873
894, -63, 1067
924, -47, 1128
903, -70, 1123
903, -70, 1123
851, -173, 1119
776, -296, 1168
663, -395, 1222
589, -519, 1296
567, -582, 1402
516, -629, 1444
499, -617, 1303
476, -602, 1078
422, -665, 899
414, -663, 796
414, -663, 796
437, -640, 735
406, -608, 646
328, -599, 568
221, -599, 516
248, -566, 379
168, -557, 336
168, -557, 336
193, -499, 240
328, -410, 213
352, -340, 177
248, -339, 121
238, -300, 255
411, -173, 391
411, -173, 391
542, -28, 470
639, 99, 457
829, 168, 471
834, 167, 514
676, 146, 361
676, 146, 361
718, 169, 421
820, 201, 601
775, 205, 712
699, 156, 881
699, 156, 881
776, 189, 1055
794, 235, 1145
861, 246, 1273
944, 256, 1477
915, 173, 1545
783, 31, 1610
783, 31, 1610
655, -160, 1642
478, -361, 1561
325, -556, 1463
277, -671, 1416
332, -685, 1371
350, -675, 1229
323, -645, 995
213, -659, 752
213, -659, 752
180, -646, 542
228, -613, 401
240, -597, 326
268, -547, 269
321, -473, 227
358, -423, 213
358, -423, 213
